       x    u_numerical        u_exact          error
     -1.0000000      0.0000000      0.0000000      0.0000000
     -0.9750000      -Infinity      0.0000000      -Infinity
     -0.9500000       Infinity      0.0000000       Infinity
     -0.9250000      -Infinity      0.0000000      -Infinity
     -0.9000000       Infinity      0.0000000       Infinity
     -0.8750000      -Infinity      0.0000000      -Infinity
     -0.8500000       Infinity      0.0000000       Infinity
     -0.8250000      -Infinity      0.0000000      -Infinity
     -0.8000000       Infinity      0.0000000       Infinity
     -0.7750000      -Infinity      0.0000000      -Infinity
     -0.7500000       Infinity      0.0000000       Infinity
     -0.7250000      -Infinity      0.0000000      -Infinity
     -0.7000000       Infinity      0.0000000       Infinity
     -0.6750000      -Infinity      0.0000000      -Infinity
     -0.6500000       Infinity      0.0000000       Infinity
     -0.6250000            NaN      0.0000000            NaN
     -0.6000000            NaN      0.0000000            NaN
     -0.5750000            NaN      0.0000000            NaN
     -0.5500000            NaN      0.0000000            NaN
     -0.5250000            NaN      0.0000000            NaN
     -0.5000000            NaN      0.0000000            NaN
     -0.4750000            NaN      0.0000000            NaN
     -0.4500000            NaN      0.0000000            NaN
     -0.4250000            NaN      0.0000000            NaN
     -0.4000000            NaN      0.0000000            NaN
     -0.3750000            NaN      0.0000000            NaN
     -0.3500000            NaN      0.0000000            NaN
     -0.3250000       Infinity      0.0000000       Infinity
     -0.3000000      -Infinity      0.0000000      -Infinity
     -0.2750000       Infinity      0.0000000       Infinity
     -0.2500000      -Infinity      0.0000000      -Infinity
     -0.2250000       Infinity      0.0000000       Infinity
     -0.2000000      -Infinity      0.0000000      -Infinity
     -0.1750000       Infinity      0.0000000       Infinity
     -0.1500000      -Infinity      0.0000000      -Infinity
     -0.1250000       Infinity      0.0000000       Infinity
     -0.1000000      -Infinity      0.0000000      -Infinity
     -0.0750000       Infinity      0.0000000       Infinity
     -0.0500000      -Infinity      0.0000000      -Infinity
     -0.0250000       Infinity      0.0000000       Infinity
      0.0000000      -Infinity      0.0000000      -Infinity
      0.0250000       Infinity      0.0000000       Infinity
      0.0500001      -Infinity      0.0000000      -Infinity
      0.0750000       Infinity      0.0000000       Infinity
      0.1000000      -Infinity      0.0000000      -Infinity
      0.1250000       Infinity      0.0000000       Infinity
      0.1500000      -Infinity      0.0000000      -Infinity
      0.1750001       Infinity      0.0000000       Infinity
      0.2000000      -Infinity      0.0000000      -Infinity
      0.2250000       Infinity      0.0000000       Infinity
      0.2500000***************      0.0000000***************
      0.2750000***************      0.0000000***************
      0.3000001***************      0.0000000***************
      0.3250000***************      0.0000000***************
      0.3500000***************      0.0000000***************
      0.3750000***************      0.0000000***************
      0.4000000***************      0.0000000***************
      0.4250001***************      0.0000000***************
      0.4500000***************      0.0000000***************
      0.4750000***************      0.0000000***************
      0.5000000***************      0.0000000***************
      0.5250000      0.0000000      0.0000000      0.0000000
      0.5500001      0.0000000      0.0000000      0.0000000
      0.5750000      0.0000000      0.0000000      0.0000000
      0.6000000      0.0000000      0.0000000      0.0000000
      0.6250000      0.0000000      0.0000000      0.0000000
      0.6500000      0.0000000      0.0000000      0.0000000
      0.6750001      0.0000000      0.0000000      0.0000000
      0.7000000      0.0000000      0.0000000      0.0000000
      0.7250000      0.0000000      0.0000000      0.0000000
      0.7500000      0.0000000      0.0000000      0.0000000
      0.7750000      0.0000000      0.0000000      0.0000000
      0.8000001      0.0000000      0.0000000      0.0000000
      0.8250000      0.0000000      0.0000000      0.0000000
      0.8500000      0.0000000      0.0000000      0.0000000
      0.8750000      0.0000000      0.0000000      0.0000000
      0.9000000      0.0000000      0.0000000      0.0000000
      0.9250001      0.0000000      0.0000000      0.0000000
      0.9500000      0.0000000      0.0000000      0.0000000
      0.9750000      0.0000000      0.0000000      0.0000000
      1.0000000      0.0000000      0.0000000      0.0000000
      1.0250001      0.0000000      0.0000000      0.0000000
      1.0500000      0.0000000      0.0000000      0.0000000
      1.0750000      0.0000000      0.0000000      0.0000000
      1.1000001      0.0000000      0.0000000      0.0000000
      1.1250000      0.0000000      0.0000000      0.0000000
      1.1500001      0.0000000      0.0000000      0.0000000
      1.1750000      0.0000000      0.0000000      0.0000000
      1.2000000      0.0000000      0.0000000      0.0000000
      1.2250001      0.0000000      0.0000000      0.0000000
      1.2500000      0.0000000      0.0000000      0.0000000
      1.2750001      0.0000000      0.0000000      0.0000000
      1.3000000      0.0000000      0.0000000      0.0000000
      1.3250000      0.0000000      0.0000000      0.0000000
      1.3500001      0.0000000      0.0000000      0.0000000
      1.3750000      0.0000000      0.0000000      0.0000000
      1.4000001      0.0000000      0.0000000      0.0000000
      1.4250000      0.0000000      0.0000000      0.0000000
      1.4500000      0.0000000      0.0000000      0.0000000
      1.4750001      0.0000000      0.0000000      0.0000000
      1.5000000      0.0000000      0.0000000      0.0000000
      1.5250001      0.0000000      0.0000000      0.0000000
      1.5500000      0.0000000      0.0000000      0.0000000
      1.5750000      0.0000000      0.0000000      0.0000000
      1.6000001      0.0000000      0.0000000      0.0000000
      1.6250000      0.0000000      0.0000000      0.0000000
      1.6500001      0.0000000      0.0000000      0.0000000
      1.6750000      0.0000000      0.0000000      0.0000000
      1.7000000      0.0000000      0.0000000      0.0000000
