       x    u_numerical        u_exact          error
     -1.0000000      0.0000000      0.0000000      0.0000000
     -0.9750000      0.0000000      0.0000000      0.0000000
     -0.9500000      0.0000000      0.0000000      0.0000000
     -0.9250000      0.0000000      0.0000000      0.0000000
     -0.9000000      0.0000000      0.0000000      0.0000000
     -0.8750000      0.0000000      0.0000000      0.0000000
     -0.8500000      0.0000000      0.0000000      0.0000000
     -0.8250000      0.0000000      0.0000000      0.0000000
     -0.8000000      0.0000000      0.0000000      0.0000000
     -0.7750000      0.0000000      0.0000000      0.0000000
     -0.7500000      0.0000000      0.0000000      0.0000000
     -0.7250000      0.0000000      0.0000000      0.0000000
     -0.7000000      0.0000000      0.0000000      0.0000000
     -0.6750000      0.0000000      0.0000000      0.0000000
     -0.6500000      0.0000000      0.0000000      0.0000000
     -0.6250000      0.0000000      0.0000000      0.0000000
     -0.6000000      0.0000000      0.0000000      0.0000000
     -0.5750000      0.0000000      0.0000000      0.0000000
     -0.5500000      0.0000000      0.0000000      0.0000000
     -0.5250000      0.0000000      0.0000000      0.0000000
     -0.5000000      0.0000000      0.0000000      0.0000000
     -0.4750000      0.0000000      0.0000000      0.0000000
     -0.4500000      0.0000000      0.0000000      0.0000000
     -0.4250000      0.0000000      0.0000000      0.0000000
     -0.4000000      0.0000000      0.0000000      0.0000000
     -0.3750000      0.0000000      0.0000000      0.0000000
     -0.3500000      0.0000000      0.0000000      0.0000000
     -0.3250000      0.0000000      0.0000000      0.0000000
     -0.3000000      0.0000000      0.0000000      0.0000000
     -0.2750000      0.0000000      0.0000000      0.0000000
     -0.2500000      0.0000000      0.0000000      0.0000000
     -0.2250000      0.0000000      0.0000000      0.0000000
     -0.2000000      0.0000000      0.0000000      0.0000000
     -0.1750000      0.0000000      0.0000000      0.0000000
     -0.1500000      0.0000000      0.0000000      0.0000000
     -0.1250000      0.0000000      0.0000000      0.0000000
     -0.1000000      0.0000000      0.0000000      0.0000000
     -0.0750000      0.0000000      0.0000000      0.0000000
     -0.0500000      0.0000000      0.0000000      0.0000000
     -0.0250000      0.0000000      0.0000000      0.0000000
      0.0000000      0.0000000      0.0000000      0.0000000
      0.0250000      0.0000000      0.0000000      0.0000000
      0.0500001      0.0000000      0.0000000      0.0000000
      0.0750000      0.0000000      0.0000000      0.0000000
      0.1000000      0.0000000      0.0000000      0.0000000
      0.1250000      0.0000000      0.0000000      0.0000000
      0.1500000      0.0000000      0.0000000      0.0000000
      0.1750001      0.0000000      0.0000000      0.0000000
      0.2000000      0.0000000      0.0000000      0.0000000
      0.2250000      0.0000000      0.0000000      0.0000000
      0.2500000      0.0000000      0.0000000      0.0000000
      0.2750000      0.0000000      0.0000000      0.0000000
      0.3000001      0.0000000      0.0000000      0.0000000
      0.3250000      0.0000000      0.0000000      0.0000000
      0.3500000      0.0000000      0.0000000      0.0000000
      0.3750000      0.0000000      0.0000000      0.0000000
      0.4000000      0.0000000      0.0000000      0.0000000
      0.4250001      0.0000000      0.0000000      0.0000000
      0.4500000      0.0000000      0.0000000      0.0000000
      0.4750000      0.0000000      0.0000000      0.0000000
      0.5000000      0.0000000      0.0000000      0.0000000
      0.5250000      0.0000000      0.0000000      0.0000000
      0.5500001      0.0000000      0.0000000      0.0000000
      0.5750000      0.0000000      0.0000000      0.0000000
      0.6000000      0.0000000      0.0000000      0.0000000
      0.6250000      0.0000000      0.0000000      0.0000000
      0.6500000      0.0000000      0.0000000      0.0000000
      0.6750001      0.0000000      0.0000000      0.0000000
      0.7000000      0.0000000      0.0000000      0.0000000
      0.7250000      0.0000000      0.0000000      0.0000000
      0.7500000      0.0000000      0.0000000      0.0000000
      0.7750000      0.0000000      0.0000000      0.0000000
      0.8000001      0.0000000      0.0000000      0.0000000
      0.8250000      0.0000000      0.0000000      0.0000000
      0.8500000      0.0000000      0.0000000      0.0000000
      0.8750000      0.0000000      0.0000000      0.0000000
      0.9000000      0.0000000      0.0000000      0.0000000
      0.9250001      0.0000000      0.0000000      0.0000000
      0.9500000      0.0000000      0.0000000      0.0000000
      0.9750000      0.0000000      0.0000000      0.0000000
      1.0000000      0.0000000      0.0000000      0.0000000
      1.0250001      0.0000001      0.0000000      0.0000001
      1.0500000      0.0000001      0.0000000      0.0000001
      1.0750000      0.0000002      0.0000000      0.0000002
      1.1000001      0.0000004      0.0000000      0.0000004
      1.1250000      0.0000007      0.0000000      0.0000007
      1.1500001      0.0000011      0.0000000      0.0000011
      1.1750000      0.0000020      0.0000000      0.0000020
      1.2000000      0.0000033      0.0000000      0.0000033
      1.2250001      0.0000056      0.0000000      0.0000056
      1.2500000      0.0000093      0.0000000      0.0000093
      1.2750001      0.0000154      0.0000000      0.0000154
      1.3000000      0.0000250      0.0000000      0.0000250
      1.3250000      0.0000404      0.0000000      0.0000404
      1.3500001      0.0000641      0.0000000      0.0000641
      1.3750000      0.0001015      0.0000000      0.0001015
      1.4000001      0.0001577      0.0000000      0.0001577
      1.4250000      0.0002441      0.0000000      0.0002441
      1.4500000      0.0003712      0.0000000      0.0003712
      1.4750001      0.0005615      0.0000000      0.0005615
      1.5000000      0.0008358      0.0000000      0.0008358
      1.5250001      0.0012353      0.0000000      0.0012353
      1.5500000      0.0017986      0.0000000      0.0017986
      1.5750000      0.0025976      0.0000000      0.0025976
      1.6000001      0.0036984      0.0000000      0.0036984
      1.6250000      0.0052179      0.0000000      0.0052179
      1.6500001      0.0072626      0.0000000      0.0072626
      1.6750000      0.0100086      0.0000000      0.0100086
      1.7000000      0.0136145      0.0000000      0.0136145
      1.7250001      0.0183246      0.0000000      0.0183246
      1.7500000      0.0243560      0.0000000      0.0243560
