       x    u_numerical        u_exact          error
     -1.0000000      0.0000000      0.0000000      0.0000000
     -0.9750000      0.0000226      0.0000000      0.0000226
     -0.9500000      0.0004933      0.0000000      0.0004933
     -0.9250000     -0.0000860      0.0000000     -0.0000860
     -0.9000000     -0.0006430      0.0000000     -0.0006430
     -0.8750000      0.0001734      0.0000000      0.0001734
     -0.8500000      0.0003749      0.0000000      0.0003749
     -0.8250000     -0.0002349      0.0000000     -0.0002349
     -0.8000000      0.0000313      0.0000000      0.0000313
     -0.7750000      0.0002120      0.0000000      0.0002120
     -0.7500000     -0.0001560      0.0000000     -0.0001560
     -0.7250000     -0.0001274      0.0000000     -0.0001274
     -0.7000000     -0.0001443      0.0000000     -0.0001443
     -0.6750000      0.0000970      0.0000000      0.0000970
     -0.6500000      0.0005173      0.0000000      0.0005173
     -0.6250000     -0.0001860      0.0000000     -0.0001860
     -0.6000000     -0.0004835      0.0000000     -0.0004835
     -0.5750000      0.0002502      0.0000000      0.0002502
     -0.5500000      0.0001387      0.0000000      0.0001387
     -0.5250000     -0.0000905      0.0000000     -0.0000905
     -0.5000000     -0.0001603      0.0000000     -0.0001603
     -0.4750000     -0.0001231      0.0000000     -0.0001231
     -0.4500000      0.0006785      0.0000000      0.0006785
     -0.4250000     -0.0000653      0.0000000     -0.0000653
     -0.4000000     -0.0006888      0.0000000     -0.0006888
     -0.3750000      0.0004691      0.0000000      0.0004691
     -0.3500000     -0.0001561      0.0000000     -0.0001561
     -0.3250000     -0.0002309      0.0000000     -0.0002309
     -0.3000000      0.0002011      0.0000000      0.0002011
     -0.2750000     -0.0001717      0.0000000     -0.0001717
     -0.2500000      0.0008032      0.0000000      0.0008032
     -0.2250000     -0.0006130      0.0000000     -0.0006130
     -0.2000000     -0.0001442      0.0000000     -0.0001442
     -0.1750000      0.0005342      0.0000000      0.0005342
     -0.1500000     -0.0003104      0.0000000     -0.0003104
     -0.1250000      0.0008827      0.0000000      0.0008827
     -0.1000000     -0.0018569      0.0000000     -0.0018569
     -0.0750000      0.0016364      0.0000000      0.0016364
     -0.0500000     -0.0013333      0.0000000     -0.0013333
     -0.0250000      0.0015500      0.0000000      0.0015500
      0.0000000     -0.0015542      0.0000000     -0.0015542
      0.0250000      0.0012600      0.0000000      0.0012600
      0.0500001     -0.0013139      0.0000000     -0.0013139
      0.0750000      0.0010453      0.0000000      0.0010453
      0.1000000     -0.0003112      0.0000000     -0.0003112
      0.1250000     -0.0000862      0.0000000     -0.0000862
      0.1500000     -0.0000440      0.0000000     -0.0000440
      0.1750001      0.0001044      0.0000000      0.0001044
      0.2000000      0.0005726      0.0000000      0.0005726
      0.2250000     -0.0014007      0.0000000     -0.0014007
      0.2500000      0.0011522      0.0000000      0.0011522
      0.2750000     -0.0010545      0.0000000     -0.0010545
      0.3000001      0.0021536      0.0000000      0.0021536
      0.3250000     -0.0020941      0.0000000     -0.0020941
      0.3500000      0.0009450      0.0000000      0.0009450
      0.3750000     -0.0016548      0.0000000     -0.0016548
      0.4000000      0.0028328      0.0000000      0.0028328
      0.4250001     -0.0021773      0.0000000     -0.0021773
      0.4500000      0.0015198      0.0000000      0.0015198
      0.4750000     -0.0018536      0.0000000     -0.0018536
      0.5000000      0.0017369      0.0000000      0.0017369
      0.5250000     -0.0008867      0.0000000     -0.0008867
      0.5500001      0.0006757      0.0000000      0.0006757
      0.5750000     -0.0012258      0.0000000     -0.0012258
      0.6000000      0.0008324      0.0000000      0.0008324
      0.6250000     -0.0003792      0.0000000     -0.0003792
      0.6500000      0.0006574      0.0000000      0.0006574
      0.6750001      0.0004676      0.0000000      0.0004676
      0.7000000     -0.0013809      0.0000000     -0.0013809
      0.7250000      0.0008948      0.0000000      0.0008948
      0.7500000     -0.0016799      0.0000000     -0.0016799
      0.7750000      0.0025335      0.0000000      0.0025335
      0.8000001     -0.0014437      0.0000000     -0.0014437
      0.8250000      0.0007355      0.0000000      0.0007355
      0.8500000     -0.0020383      0.0000000     -0.0020383
      0.8750000      0.0012712      0.0000000      0.0012712
