       x       pressure        density       velocity
  0.1250000E-01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.3750000E-01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.6250000E-01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.8750000E-01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1125000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1375000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1625000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1875000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.2125000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.2375000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.2625000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.2875000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.3125000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.3375000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.3625000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.3875000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.4125000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.4375000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.4625000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.4875000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.5125000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.5375000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.5625000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.5875000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.6125000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.6375000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.6625000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.6875000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.7125000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.7375000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.7625000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.7875000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.8125000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.8375000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.8625000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.8875000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.9125000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.9375000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.9625000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.9875000E+00  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1012500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1037500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1062500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1087500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1112500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1137500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1162500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1187500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1212500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1237500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1262500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1287500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1312500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1337500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1362500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1387500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1412500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
  0.1437500E+01  0.1000000E+06  0.1000000E+01  0.0000000E+00
