phi,P_atm,Tad_K,T0_K
0.4,1,2801.8,300
0.7,1,3021.44,300
1.0,1,3074.73,300
1.3,1,3046.53,300
1.6,1,2968.05,300
1.9,1,2862.44,300
2.2,1,2745.25,300
2.5,1,2624.06,300
2.8,1,2502.32,300
3.1,1,2382.27,300
3.4,1,2266.12,300
3.7,1,2155.96,300
4.0,1,2053.3,300
4.3,1,1958.81,300
4.6,1,1872.46,300
0.4,3,2892.52,300
0.7,3,3155.27,300
1.0,3,3221.59,300
1.3,3,3186.45,300
1.6,3,3089.52,300
1.9,3,2961.84,300
2.2,3,2822.68,300
2.5,3,2681.14,300
2.8,3,2541.78,300
3.1,3,2407.74,300
3.4,3,2281.56,300
3.7,3,2164.86,300
4.0,3,2058.25,300
4.3,3,1961.51,300
4.6,3,1873.92,300
0.4,5,2933.52,300
0.7,5,3218.91,300
1.0,5,3292.48,300
1.3,5,3253.24,300
1.6,5,3145.88,300
1.9,5,3006.25,300
2.2,5,2855.72,300
2.5,5,2704.21,300
2.8,5,2556.8,300
3.1,5,2416.9,300
3.4,5,2286.84,300
3.7,5,2167.79,300
4.0,5,2059.84,300
4.3,5,1962.37,300
4.6,5,1874.38,300
0.4,1,2825.31,400
0.7,1,3035.74,400
1.0,1,3086.89,400
1.3,1,3060.39,400
1.6,1,2986.69,400
1.9,1,2887.64,400
2.2,1,2777.91,400
2.5,1,2664.8,400
2.8,1,2551.5,400
3.1,1,2439.77,400
3.4,1,2331.2,400
3.7,1,2227.37,400
4.0,1,2129.63,400
4.3,1,2038.79,400
4.6,1,1955.12,400
0.4,3,2920.0,400
0.7,3,3172.11,400
1.0,3,3235.79,400
1.3,3,3202.84,400
1.6,3,3111.87,400
1.9,3,2992.01,400
2.2,3,2861.42,400
2.5,3,2728.73,400
2.8,3,2597.99,400
3.1,3,2471.75,400
3.4,3,2352.04,400
3.7,3,2240.34,400
4.0,3,2137.43,400
4.3,3,2043.38,400
4.6,3,1957.79,400
0.4,5,2963.03,400
0.7,5,3237.11,400
1.0,5,3307.76,400
1.3,5,3271.01,400
1.6,5,3170.26,400
1.9,5,3039.06,400
2.2,5,2897.54,400
2.5,5,2755.07,400
2.8,5,2616.15,400
3.1,5,2483.57,400
3.4,5,2359.36,400
3.7,5,2244.71,400
4.0,5,2139.98,400
4.3,5,2044.85,400
4.6,5,1958.63,400
0.4,1,2848.19,500
0.7,1,3049.84,500
1.0,1,3098.94,500
1.3,1,3074.0,500
1.6,1,3004.7,500
1.9,1,2911.69,500
2.2,1,2808.81,500
2.5,1,2703.09,500
2.8,1,2597.55,500
3.1,1,2493.65,500
3.4,1,2392.5,500
3.7,1,2295.23,500
4.0,1,2202.9,500
4.3,1,2116.29,500
4.6,1,2035.81,500
0.4,3,2946.79,500
0.7,3,3188.72,500
1.0,3,3249.86,500
1.3,3,3218.93,500
1.6,3,3133.45,500
1.9,3,3020.83,500
2.2,3,2898.17,500
2.5,3,2773.71,500
2.8,3,2651.14,500
3.1,3,2532.55,500
3.4,3,2419.5,500
3.7,3,2313.22,500
4.0,3,2214.5,500
4.3,3,2123.61,500
4.6,3,2040.36,500
0.4,5,2991.82,500
0.7,5,3255.06,500
1.0,5,3322.91,500
1.3,5,3288.45,500
1.6,5,3193.78,500
1.9,5,3070.42,500
2.2,5,2937.3,500
2.5,5,2803.33,500
2.8,5,2672.57,500
3.1,5,2547.34,500
3.4,5,2429.27,500
3.7,5,2319.46,500
4.0,5,2218.39,500
4.3,5,2126.0,500
4.6,5,2041.82,500
